,label,landmark,x,y,z
0,1,1,-10.92581558227539,-14.111625671386719,25.581411361694336
1,1,2,-20.357584996703864,-17.73882689157347,26.77750578588533
2,1,3,-17.123560440210007,-15.2624826738544,29.214604169109396
3,1,4,-16.22786205246051,-18.003125300071858,19.258751730807546
4,1,5,-15.667339825768657,-16.067809405983443,24.598380438813983
5,1,9,-12.783787727355957,-16.23917579650879,28.067598342895508
6,1,11,-17.74896812438965,-18.817466735839844,27.85808753967285
7,1,12,-13.778130531311035,-18.97121238708496,20.971403121948242
8,1,13,-17.15607452392578,-20.184619903564453,21.245288848876953
9,2,1,-0.8834368325603951,-10.640951312685216,24.6516903299344
10,2,2,-9.902356880172386,-14.333960810062102,26.176772771065387
11,2,3,-5.618200733203319,-11.552558549973615,27.71330316145669
12,2,4,-7.53554115976871,-14.261172315052864,18.728004951066918
13,2,5,-6.112249257426778,-12.950146873652068,22.999354649361443
14,2,9,-2.3777854442596436,-12.606505393981934,26.274433135986328
15,2,11,-6.083122253417969,-15.310471534729004,27.136741638183594
16,2,12,-4.3988257098779,-14.940665484032671,19.379772309800746
17,2,13,-8.443340301513672,-17.010557174682617,19.996774673461914
18,3,1,5.829453945159912,-8.334676742553711,22.50965690612793
19,3,2,0.5438626408576965,-11.092638969421387,24.379274368286133
20,3,3,3.1047526275016586,-8.709942399417184,25.689668647498518
21,3,4,0.5845018625259399,-9.601248741149902,17.062580108642578
22,3,5,2.0708587169647217,-10.094940185546875,21.415983200073242
23,3,7,4.7511461019425685,-10.986266479479546,24.46033460135762
24,3,8,3.464733515508539,-11.524097736913493,18.410780101157506
25,4,1,10.91243940969056,-3.8361261325495484,19.825888628008702
26,4,2,5.935393333435059,-7.656389236450195,22.672618865966797
27,4,3,8.403164276075719,-4.102556411710355,23.428678054660896
28,4,4,6.491241597986219,-7.1077889180468,15.182172012705957
29,4,5,8.177127193121263,-6.5245518196806636,19.615779870366342
30,4,7,10.334545528855838,-6.9919456085681135,22.487340799114026
31,4,8,9.532232182776307,-8.334129005338431,16.316770113557794
32,5,1,15.65384784625974,-0.27280348690701717,14.849879770419582
33,5,2,10.851231575012207,-3.5812649726867676,19.585458755493164
34,5,3,14.108929324265409,-0.4363678251943578,18.87545147263634
35,5,4,11.649576905306736,-2.933701893937389,14.735863948026207
36,5,6,16.167600631713867,-3.704631805419922,18.016231536865234
37,6,1,19.912425994873047,0.13770155608654022,9.12497329711914
38,6,2,17.842151641845703,0.6062447428703308,14.699677467346191
39,6,3,17.840680193665627,3.0854980053675334,11.566767724570447
40,6,4,14.376704494985725,1.5465582242439284,10.725737053114752
41,6,6,19.784759132481728,-0.021271534060667518,12.151909125570041
42,7,1,21.928897857666016,0.3092557191848755,0.4627593457698822
43,7,2,20.706008911132812,0.6595926880836487,7.689916610717773
44,7,3,20.60946912786837,3.2817329444126666,3.972153551732653
45,7,4,15.453578084647912,1.1794546961597878,3.3056660226708705
46,7,6,22.42858681677299,0.06911518685032106,4.041156157924855
47,8,1,21.570194473521987,0.8265650613077863,-0.2950339854112532
48,8,2,20.515552520751953,-0.013481875881552696,-8.186365127563477
49,8,3,20.301364401088723,3.2827030889498925,-4.973720839509298
50,8,4,15.901881716413046,0.8397965195360029,-3.91855825816688
51,8,6,22.449552369379283,-0.3957804108938338,-4.338582478104138
52,9,1,20.674891895149734,-0.23281000099580312,-8.72844514949582
53,9,2,18.63035011291504,-2.100569009780884,-14.338615417480469
54,9,3,19.015422821044922,0.8990803956985474,-11.960716247558594
55,9,4,15.024497735949911,-0.6897199692410205,-11.01252777581465
56,9,6,20.927902221679688,-1.4583635330200195,-10.481512069702148
57,10,1,17.198625564575195,-3.018641233444214,-14.751720428466797
58,10,2,12.349353790283203,-6.126232147216797,-19.005905151367188
59,10,3,15.545911168610324,-2.6253923138947615,-18.650435764312416
60,10,4,11.814633839917292,-4.69832455182052,-13.954115287906696
61,10,6,16.027915233262128,-6.65382085176146,-17.53045375193286
62,11,1,12.453144762730501,-6.813738219289951,-19.10396845418686
63,11,2,8.072480201721191,-9.732585906982422,-23.098573684692383
